#        q              total             1 term        \delta U term    \delta U^2 term  

     0.001185        2.592022e+02      2.655129e+02     -6.348663e+00      3.795062e-02   
     0.006239        2.588257e+02      2.651310e+02     -6.343246e+00      3.794046e-02   
     0.015318        2.568552e+02      2.631320e+02     -6.314716e+00      3.788558e-02   
     0.028399        2.512333e+02      2.574287e+02     -6.233047e+00      3.772975e-02   
     0.045447        2.394777e+02      2.455006e+02     -6.060202e+00      3.739917e-02   
     0.066417        2.196323e+02      2.253569e+02     -5.761418e+00      3.682384e-02   
     0.091251        1.915122e+02      1.967967e+02     -5.320462e+00      3.596045e-02   
     0.119882        1.574791e+02      1.621961e+02     -4.751815e+00      3.480421e-02   
     0.152235        1.218542e+02      1.259210e+02     -4.100143e+00      3.337915e-02   
     0.188220        8.910977e+01      9.250293e+01     -3.424865e+00      3.170719e-02   
     0.227742        6.215832e+01      6.490890e+01     -2.780364e+00      2.978743e-02   
     0.270694        4.184016e+01      4.401572e+01     -2.203164e+00      2.759536e-02   
     0.316959        2.749080e+01      2.917572e+01     -1.710028e+00      2.510446e-02   
     0.366414        1.780530e+01      1.908564e+01     -1.302640e+00      2.230942e-02   
     0.418925        1.145497e+01      1.240959e+01     -9.738617e-01      1.924117e-02   
     0.474351        7.360750e+00      8.057605e+00     -7.128308e-01      1.597596e-02   
     0.532541        4.742348e+00      5.237813e+00     -5.081013e-01      1.263664e-02   
     0.593339        3.071337e+00      3.411192e+00     -3.492441e-01      9.389682e-03   
     0.656582        2.003022e+00      2.224021e+00     -2.274352e-01      6.436002e-03   
     0.722098        1.317095e+00      1.448617e+00     -1.355174e-01      3.995704e-03   
     0.789711        8.741159e-01      9.396279e-01     -6.779619e-02      2.284187e-03   
     0.859239        5.860882e-01      6.043502e-01     -1.974219e-02      1.480171e-03   
     0.930495        3.974184e-01      3.834056e-01      1.232496e-02      1.687928e-03   
     1.003286        2.728527e-01      2.384299e-01      3.152219e-02      2.900607e-03   
     1.077416        1.899192e-01      1.443147e-01      4.062916e-02      4.975333e-03   
     1.152685        1.342081e-01      8.434872e-02      4.222645e-02      7.632974e-03   
     1.228890        9.642088e-02      4.719900e-02      3.873006e-02      1.049182e-02   
     1.305826        7.051843e-02      2.505429e-02      3.232972e-02      1.313442e-02   
     1.383286        5.255393e-02      1.249433e-02      2.486671e-02      1.519288e-02   
     1.461060        3.993175e-02      5.794426e-03      1.771111e-02      1.642622e-02   
     1.538940        3.093452e-02      2.472556e-03      1.169916e-02      1.676280e-02   
     1.616714        2.441906e-02      9.598344e-04      7.165917e-03      1.629331e-02   
     1.694174        1.961981e-02      3.347491e-04      4.064785e-03      1.522027e-02   
     1.771110        1.602084e-02      1.033336e-04      2.129679e-03      1.378782e-02   
     1.847315        1.327215e-02      2.767581e-05      1.025336e-03      1.221914e-02   
     1.922584        1.113454e-02      6.233392e-06      4.487991e-04      1.067951e-02   
     1.996714        9.443175e-03      1.112662e-06      1.743691e-04      9.267693e-03   
     2.069505        8.083377e-03      1.362069e-07      5.649954e-05      8.026741e-03   
     2.140761        6.974470e-03      6.511166e-09      1.203270e-05      6.962431e-03   
     2.210289        6.058968e-03      5.152039e-10     -1.614602e-06      6.060582e-03   
     2.277902        5.295304e-03      1.784971e-09     -4.028366e-06      5.299330e-03   
     2.343418        4.652925e-03      1.296111e-09     -3.215677e-06      4.656139e-03   
     2.406661        4.108974e-03      5.942888e-10     -1.980150e-06      4.110953e-03   
     2.467459        3.646033e-03      2.121638e-10     -1.062738e-06      3.647096e-03   
     2.525649        3.250582e-03      6.327523e-11     -5.153501e-07      3.251098e-03   
     2.581075        2.911941e-03      1.607892e-11     -2.265159e-07      2.912167e-03   
     2.633586        2.621533e-03      3.418797e-12     -8.749352e-08      2.621621e-03   
     2.683041        2.372382e-03      5.618741e-13     -2.617363e-08      2.372408e-03   
     2.729306        2.158741e-03      5.611681e-14     -1.900032e-09      2.158743e-03   
     2.772258        1.975842e-03      5.297023e-15      6.060665e-09      1.975836e-03   
     2.811780        1.819700e-03      1.114213e-14      7.492720e-09      1.819692e-03   
     2.847765        1.686979e-03      1.362937e-14      6.688388e-09      1.686972e-03   
     2.880118        1.574884e-03      1.161241e-14      5.376076e-09      1.574878e-03   
     2.908749        1.481081e-03      8.570074e-15      4.165632e-09      1.481077e-03   
     2.933583        1.403635e-03      6.022309e-15      3.215885e-09      1.403632e-03   
     2.954553        1.340957e-03      4.241699e-15      2.524218e-09      1.340955e-03   
     2.971601        1.291771e-03      3.093392e-15      2.043530e-09      1.291769e-03   
     2.984682        1.255077e-03      2.388947e-15      1.724920e-09      1.255075e-03   
     2.993761        1.230132e-03      1.984890e-15      1.530542e-09      1.230131e-03   
