#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.002577        7.678264e+07      7.681420e+07     -3.167140e+04      1.186162e+02   
     0.001185          0.013559        4.151729e+07      4.153430e+07     -1.712508e+04      1.108464e+02   
     0.001185          0.033249        1.665976e+07      1.666978e+07     -1.011149e+04      8.815766e+01   
     0.001185          0.061531        5.952050e+06      5.958845e+06     -6.871621e+03      7.703284e+01   
     0.001185          0.098236        3.105771e+06      3.110641e+06     -4.937923e+03      6.808784e+01   
     0.001185          0.143143        1.837586e+06      1.841407e+06     -3.883748e+03      6.272285e+01   
     0.001185          0.195983        1.190209e+06      1.193350e+06     -3.200062e+03      5.915259e+01   
     0.001185          0.256438        7.602444e+05      7.627901e+05     -2.601721e+03      5.601395e+01   
     0.001185          0.324143        5.122659e+05      5.143730e+05     -2.160223e+03      5.309612e+01   
     0.001185          0.398693        3.449959e+05      3.467247e+05     -1.778690e+03      4.989649e+01   
     0.001185          0.479638        2.346684e+05      2.361281e+05     -1.505532e+03      4.580392e+01   
     0.001185          0.566492        1.584271e+05      1.596477e+05     -1.261876e+03      4.125117e+01   
     0.001185          0.658732        1.182289e+05      1.193426e+05     -1.150584e+03      3.684311e+01   
     0.001185          0.755804        8.245435e+04      8.337034e+04     -9.480201e+02      3.202500e+01   
     0.001185          0.857124        5.965011e+04      6.043914e+04     -8.165808e+02      2.755523e+01   
     0.001185          0.962083        4.028385e+04      4.095170e+04     -6.910616e+02      2.320395e+01   
     0.001185          1.070048        3.062661e+04      3.122428e+04     -6.170691e+02      1.939665e+01   
     0.001185          1.180372        2.031632e+04      2.078586e+04     -4.853104e+02      1.577918e+01   
     0.001185          1.292390        1.491855e+04      1.533301e+04     -4.271227e+02      1.265400e+01   
     0.001185          1.405429        1.075923e+04      1.112303e+04     -3.737817e+02      9.987562e+00   
     0.001185          1.518808        7.835522e+03      8.152906e+03     -3.250768e+02      7.693688e+00   
     0.001185          1.631847        5.881939e+03      6.156888e+03     -2.807973e+02      5.848351e+00   
     0.001185          1.743865        3.989608e+03      4.225971e+03     -2.407323e+02      4.368474e+00   
     0.001185          1.854189        2.992516e+03      3.194006e+03     -2.046712e+02      3.180432e+00   
     0.001185          1.962154        1.604844e+03      1.746309e+03     -1.437176e+02      2.252418e+00   
     0.001185          2.067113        1.179393e+03      1.300050e+03     -1.222598e+02      1.602522e+00   
     0.001185          2.168432        7.949717e+02      8.901202e+02     -9.625077e+01      1.102323e+00   
     0.001185          2.265504        4.513849e+02      5.276601e+02     -7.704803e+01      7.728310e-01   
     0.001185          2.357745        2.926713e+02      3.527594e+02     -6.058478e+01      4.966968e-01   
     0.001185          2.444599        1.444264e+02      1.907316e+02     -4.665028e+01      3.451124e-01   
     0.001185          2.525544        8.320549e+01      1.180079e+02     -3.503381e+01      2.314002e-01   
     0.001185          2.600093        4.452479e+01      6.989113e+01     -2.552463e+01      1.582911e-01   
     0.001185          2.667799        1.858779e+01      4.399277e+01     -2.552463e+01      1.196490e-01   
     0.001185          2.728254        3.398584e-02      1.194518e+01     -1.198525e+01      7.405333e-02   
     0.001185          2.781094       -3.230228e+00      8.702918e+00     -1.198525e+01      5.210326e-02   
     0.001185          2.826001       -5.702968e+00      1.563780e+00     -7.296515e+00      2.976713e-02   
     0.001185          2.862706       -9.245546e-01      1.310121e-01     -1.059579e+00      4.012114e-03   
     0.001185          2.890988        1.121713e-04      0.000000e+00      0.000000e+00      1.121713e-04   
     0.001185          2.910678        9.188870e-06      0.000000e+00      0.000000e+00      9.188870e-06   
