#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        1.709973e+09      1.709981e+09     -8.783601e+03      6.546737e+02   
     0.001185          0.009274        8.519920e+08      8.519977e+08     -6.248410e+03      5.998165e+02   
     0.001185          0.022740        4.378398e+08      4.378438e+08     -4.583457e+03      5.190479e+02   
     0.001185          0.042083        2.656392e+08      2.656423e+08     -3.601030e+03      4.412448e+02   
     0.001185          0.067187        1.772469e+08      1.772495e+08     -2.944271e+03      3.771236e+02   
     0.001185          0.097901        1.264306e+08      1.264328e+08     -2.495436e+03      3.263618e+02   
     0.001185          0.134040        9.463677e+07      9.463863e+07     -2.149108e+03      2.861491e+02   
     0.001185          0.175388        7.382408e+07      7.382573e+07     -1.906224e+03      2.540620e+02   
     0.001185          0.221694        5.816903e+07      5.817049e+07     -1.692126e+03      2.280655e+02   
     0.001185          0.272682        4.838273e+07      4.838408e+07     -1.555608e+03      2.066058e+02   
     0.001185          0.328043        4.069270e+07      4.069394e+07     -1.426638e+03      1.888310e+02   
     0.001185          0.387446        3.404939e+07      3.405052e+07     -1.305001e+03      1.736989e+02   
     0.001185          0.450533        2.833557e+07      2.833660e+07     -1.190482e+03      1.606403e+02   
     0.001185          0.516924        2.498946e+07      2.499043e+07     -1.117985e+03      1.509836e+02   
     0.001185          0.586221        2.197932e+07      2.198023e+07     -1.048492e+03      1.412903e+02   
     0.001185          0.658006        1.927760e+07      1.927845e+07     -9.819403e+02      1.330602e+02   
     0.001185          0.731848        1.803427e+07      1.803509e+07     -9.497475e+02      1.253873e+02   
     0.001185          0.807302        1.574730e+07      1.574806e+07     -8.874882e+02      1.213885e+02   
     0.001185          0.883916        1.469782e+07      1.469856e+07     -8.574058e+02      1.154030e+02   
     0.001185          0.961228        1.277302e+07      1.277371e+07     -7.992958e+02      1.120138e+02   
     0.001185          1.038772        1.189243e+07      1.189310e+07     -7.712523e+02      1.093538e+02   
     0.001185          1.116084        1.106303e+07      1.106366e+07     -7.438725e+02      1.061909e+02   
     0.001185          1.192698        1.028239e+07      1.028301e+07     -7.171485e+02      1.036711e+02   
     0.001185          1.268152        9.548214e+06      9.548804e+06     -6.910723e+02      1.011226e+02   
     0.001185          1.341994        8.858248e+06      8.858815e+06     -6.656360e+02      9.868923e+01   
     0.001185          1.413779        8.210339e+06      8.210884e+06     -6.408317e+02      9.633056e+01   
     0.001185          1.483076        7.602412e+06      7.602935e+06     -6.166513e+02      9.351988e+01   
     0.001185          1.549467        7.032466e+06      7.032969e+06     -5.930869e+02      9.016107e+01   
     0.001185          1.612554        6.498581e+06      6.499064e+06     -5.701307e+02      8.676954e+01   
     0.001185          1.671957        6.498579e+06      6.499064e+06     -5.701307e+02      8.464190e+01   
     0.001185          1.727318        5.998906e+06      5.999371e+06     -5.477746e+02      8.277068e+01   
     0.001185          1.778306        5.531666e+06      5.532113e+06     -5.260106e+02      7.919525e+01   
     0.001185          1.824612        5.531665e+06      5.532113e+06     -5.260106e+02      7.785051e+01   
     0.001185          1.865960        5.095154e+06      5.095584e+06     -5.048309e+02      7.513245e+01   
     0.001185          1.902099        5.095152e+06      5.095584e+06     -5.048309e+02      7.354360e+01   
     0.001185          1.932813        4.687731e+06      4.688144e+06     -4.842275e+02      7.088118e+01   
     0.001185          1.957917        4.687731e+06      4.688144e+06     -4.842275e+02      7.026388e+01   
     0.001185          1.977260        4.687729e+06      4.688144e+06     -4.842275e+02      6.906451e+01   
     0.001185          1.990726        4.307826e+06      4.308224e+06     -4.641925e+02      6.717216e+01   
     0.001185          1.998238        4.307826e+06      4.308224e+06     -4.641925e+02      6.690999e+01   
     0.006239          0.001762        6.921550e+08      6.921602e+08     -5.379153e+03      1.609573e+02   
     0.006239          0.009274        6.418707e+08      6.418753e+08     -4.741146e+03      1.483535e+02   
     0.006239          0.022740        4.198938e+08      4.198975e+08     -3.896382e+03      1.323134e+02   
     0.006239          0.042083        2.618770e+08      2.618800e+08     -3.197420e+03      1.166323e+02   
     0.006239          0.067187        1.762773e+08      1.762799e+08     -2.676483e+03      1.026193e+02   
     0.006239          0.097901        1.261926e+08      1.261948e+08     -2.289822e+03      9.083709e+01   
     0.006239          0.134040        9.449319e+07      9.449510e+07     -1.994051e+03      8.092557e+01   
     0.006239          0.175388        7.346192e+07      7.346362e+07     -1.765806e+03      7.273684e+01   
     0.006239          0.221694        5.859628e+07      5.859780e+07     -1.585408e+03      6.592781e+01   
     0.006239          0.272682        4.770897e+07      4.771035e+07     -1.433561e+03      6.023823e+01   
