#        q              total             1 term        \delta U term    \delta U^2 term  

     0.001185        2.598214e+02      2.658974e+02     -6.111153e+00      3.511335e-02   
     0.006239        2.594431e+02      2.655140e+02     -6.106029e+00      3.510510e-02   
     0.015318        2.574659e+02      2.635098e+02     -6.078944e+00      3.505900e-02   
     0.028399        2.518231e+02      2.577896e+02     -6.001376e+00      3.492822e-02   
     0.045447        2.400250e+02      2.458275e+02     -5.837150e+00      3.465066e-02   
     0.066417        2.201109e+02      2.256296e+02     -5.552808e+00      3.416415e-02   
     0.091251        1.919004e+02      1.969991e+02     -5.132082e+00      3.342470e-02   
     0.119882        1.577692e+02      1.623246e+02     -4.587831e+00      3.241788e-02   
     0.152235        1.220558e+02      1.259865e+02     -3.961855e+00      3.114950e-02   
     0.188220        8.924411e+01      9.252539e+01     -3.310906e+00      2.962547e-02   
     0.227742        6.224824e+01      6.490810e+01     -2.687690e+00      2.783604e-02   
     0.270694        4.190354e+01      4.400603e+01     -2.128247e+00      2.575796e-02   
     0.316959        2.753892e+01      2.916510e+01     -1.649548e+00      2.337186e-02   
     0.366414        1.784431e+01      1.907737e+01     -1.253746e+00      2.068098e-02   
     0.418925        1.148789e+01      1.240439e+01     -9.342257e-01      1.772465e-02   
     0.474351        7.389063e+00      8.055051e+00     -6.805738e-01      1.458530e-02   
     0.532541        4.766820e+00      5.237161e+00     -4.817319e-01      1.139084e-02   
     0.593339        3.092452e+00      3.411719e+00     -3.275782e-01      8.311182e-03   
     0.656582        2.021154e+00      2.225151e+00     -2.095467e-01      5.550176e-03   
     0.722098        1.332572e+00      1.449926e+00     -1.206837e-01      3.329737e-03   
     0.789711        8.872354e-01      9.408337e-01     -5.546441e-02      1.866082e-03   
     0.859239        5.971250e-01      6.052865e-01     -9.498199e-03      1.336742e-03   
     0.930495        4.066236e-01      3.840008e-01      2.078137e-02      1.841420e-03   
     1.003286        2.804539e-01      2.386867e-01      3.840400e-02      3.363292e-03   
     1.077416        1.961218e-01      1.442890e-01      4.609045e-02      5.742341e-03   
     1.152685        1.391962e-01      8.412827e-02      4.639343e-02      8.674532e-03   
     1.228890        1.003594e-01      4.688052e-02      4.173136e-02      1.174750e-02   
     1.305826        7.355465e-02      2.472266e-02      3.431912e-02      1.451288e-02   
     1.383286        5.481923e-02      1.220821e-02      2.603125e-02      1.657976e-02   
     1.461060        4.154301e-02      5.581424e-03      1.826124e-02      1.770035e-02   
     1.538940        3.199545e-02      2.333801e-03      1.184497e-02      1.781668e-02   
     1.616714        2.502136e-02      8.804587e-04      7.089713e-03      1.705119e-02   
     1.694174        1.984417e-02      2.949392e-04      3.901550e-03      1.564768e-02   
     1.771110        1.593788e-02      8.592278e-05      1.961936e-03      1.389002e-02   
     1.847315        1.294327e-02      2.110161e-05      8.912387e-04      1.203093e-02   
     1.922584        1.061270e-02      4.130140e-06      3.569782e-04      1.025159e-02   
     1.996714        8.773662e-03      5.657087e-07      1.185735e-04      8.654523e-03   
     2.069505        7.304525e-03      3.387706e-08      2.597603e-05      7.278515e-03   
     2.140761        6.118359e-03      6.745763e-10     -3.020639e-06      6.121379e-03   
     2.210289        5.152094e-03      5.924130e-09     -8.212602e-06      5.160301e-03   
     2.277902        4.359219e-03      4.851063e-09     -6.478038e-06      4.365692e-03   
     2.343418        3.704848e-03      2.340388e-09     -3.860465e-06      3.708706e-03   
     2.406661        3.162366e-03      8.572277e-10     -1.960354e-06      3.164326e-03   
     2.467459        2.711129e-03      2.592831e-10     -8.693404e-07      2.711998e-03   
     2.525649        2.334882e-03      6.691844e-11     -3.268940e-07      2.335209e-03   
     2.581075        2.020653e-03      1.490514e-11     -8.880030e-08      2.020742e-03   
     2.633586        1.757975e-03      2.921842e-12      1.154734e-09      1.757974e-03   
     2.683041        1.538324e-03      5.837746e-13      2.690911e-08      1.538298e-03   
     2.729306        1.354718e-03      1.893351e-13      2.846380e-08      1.354690e-03   
     2.772258        1.201408e-03      1.092879e-13      2.291271e-08      1.201385e-03   
     2.811780        1.073649e-03      7.104175e-14      1.665932e-08      1.073632e-03   
     2.847765        9.675266e-04      4.398596e-14      1.160676e-08      9.675150e-04   
     2.880118        8.798158e-04      2.606104e-14      7.987709e-09      8.798078e-04   
     2.908749        8.078688e-04      1.524373e-14      5.537343e-09      8.078633e-04   
     2.933583        7.495282e-04      9.066244e-15      3.924069e-09      7.495243e-04   
     2.954553        7.030552e-04      5.621842e-15      2.877487e-09      7.030523e-04   
     2.971601        6.670720e-04      3.712665e-15      2.206685e-09      6.670698e-04   
     2.984682        6.405173e-04      2.658810e-15      1.786358e-09      6.405155e-04   
     2.993761        6.226107e-04      2.095515e-15      1.538546e-09      6.226091e-04   
     2.998815        6.128242e-04      1.837421e-15      1.418127e-09      6.128228e-04   
     3.004739        6.015175e-04      1.514530e-15      1.251658e-09      6.015162e-04   
     3.024957        5.642310e-04      7.895417e-16      8.245592e-10      5.642302e-04   
     3.061273        5.020874e-04      2.214265e-16      3.648233e-10      5.020870e-04   
     3.113597        4.226409e-04      2.283005e-17      7.873492e-11      4.226408e-04   
     3.181789        3.350407e-04      1.847626e-19     -1.394863e-11      3.350407e-04   
     3.265666        2.485193e-04      6.923630e-19     -1.435965e-11      2.485193e-04   
     3.365002        1.709806e-04      1.474155e-19     -3.426311e-12      1.709806e-04   
     3.479529        1.079288e-04      5.544343e-21     -1.717988e-13      1.079288e-04   
     3.608938        6.190893e-05      1.120422e-23      3.075844e-14      6.190893e-05   
     3.752880        3.253544e-05      1.090158e-24     -3.364481e-16      3.253544e-05   
     3.910968        1.706722e-05      1.170167e-26     -5.062744e-16      1.706722e-05   
     4.082775        1.137588e-05      1.374092e-30     -6.937743e-18      1.137588e-05   
     4.267838        1.106066e-05      6.358599e-32      1.600625e-18      1.106066e-05   
     4.465657        1.242843e-05      1.925148e-31      2.984977e-18      1.242843e-05   
     4.675701        1.310260e-05      6.818169e-32      1.889327e-18      1.310260e-05   
     4.897402        1.214939e-05      1.262440e-32      6.147815e-19      1.214939e-05   
